cand_id,development,event_type,source_type,title,publisher,published_date,source_url,file_kind,event_date_초안,date_precision,mode,scope,promise_verb_원문표기,page_or_section,exact_excerpt,confidence,notes,url_clean,domain_check,http_status,file_kind_actual,kind_mismatch,sha256_raw,bytes,local_path,sha256_text,dup_of,excerpt_found,excerpt_sim,retrieved_at,review_status,reject_reason
F001,인천 계양,occupancy_start,official_housing_notice,인천계양 A2 공공분양주택 입주자모집공고,한국토지주택공사,2024-09-20,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060752&uppAisTpCd=05,html,2026-12,month,occupancy,block,입주예정일,공급정보 A2,입주예정일 2026년 12월,high,미래 예정일이며 실제 입주 시작 공지가 나오면 갱신,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060752&uppAisTpCd=05,ALLOW,200,html,,01bc504183290e9396f18bb39c2584d4b17399188a016a4cba5351052a00c011,197323,evidence\documents\인천 계양\2024-09-20_인천계양_A2_공공분양주택_입주자모집공고.html,b5b3d741d3feb77e7edb03bb960ca7478aa2274cd97173d56c6c0c3993ee67a4,,TOO_SHORT,,2026-08-26T20:18:02+09:00,needs_human,인용문:TOO_SHORT
F002,인천 계양,occupancy_start,official_commercial_notice,인천계양 A3블록 단지내상가 재분양공고,한국토지주택공사,2026-07-10,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=23&ccrCnntSysDsCd=04&panId=BN-0001331&uppAisTpCd=22,html,2026-12,month,occupancy,block,입주예정월,단지내 주택 정보,입주예정월 2026. 12,high,A3 주택의 입주예정월을 재확인하는 독립 공고,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=23&ccrCnntSysDsCd=04&panId=BN-0001331&uppAisTpCd=22,ALLOW,200,html,,0d9239bb1c0b7c81b51ba1a7bde70f065d119672d3b0d3f67655838c0ec98dfd,176719,evidence\documents\인천 계양\2026-07-10_인천계양_A3블록_단지내상가_재분양공고.html,ea374381b39b5cd025fbac74fd28f53f73bfe29d7ac7b02cb2edb43c91a97997,,TOO_SHORT,,2026-08-26T20:18:06+09:00,needs_human,인용문:TOO_SHORT
F003,인천 계양,promise_date,official_press_release,인천계양·부천대장 광역교통개선대책 확정,국토교통부 대도시권광역교통위원회,2021-01-24,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094&lcmspage=2,html,미정,unknown,S-BRT_road,district,설치·구축한다,인천계양·부천대장 대중교통 대책,김포공항역~계양지구 S-BRT를 설치,high,개선대책 확정 원문이지만 실제 개통일은 제시하지 않음,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094&lcmspage=2,ALLOW,200,html,,9eaae5277162495e97ddf189edad305711b636676a8daa566b7f3466375b35c5,27350,evidence\documents\인천 계양\2021-01-24_인천계양_부천대장_광역교통개선대책_확정.html,45b3253f2cc3861155a1fbae930bb8770945ea0c200c48c4cd4e31e26b16f149,,TOO_SHORT,,2026-08-26T20:18:09+09:00,needs_human,인용문:TOO_SHORT
F004,인천 계양,promise_date,official_service_page,BRT 고급화(S-BRT) 추진,국토교통부 대도시권광역교통위원회,확인불가,https://www.molit.go.kr/mta/USR/WPGE0201/m_36794/DTL.jsp,html,2026,year,S-BRT,district,차질 없이 추진,S-BRT 시범사업 목록,계양-대장 S-BRT 사업기간 ’19~’26,high,페이지 갱신형 현황표이므로 게시일 대신 수집일을 검증로그로 관리,https://www.molit.go.kr/mta/USR/WPGE0201/m_36794/DTL.jsp,ALLOW,200,html,,ea7e2a95951f422d9bc6adee96f50dae36ad3fbc19b3e1d59600f6fbb5e48c15,53484,evidence\documents\인천 계양\확인불가_BRT_고급화_S-BRT__추진.html,e92fc0fdcff4ed44bc731905b37d17f272789c5d725af243a4a5c8d68ffff3cf,,TOO_SHORT,,2026-08-26T20:18:13+09:00,needs_human,인용문:TOO_SHORT
F005,인천 계양,basic_service,official_press_release,인천도시철도 1호선 검단연장선 개통,인천광역시,2025-06-28,https://www.incheon.go.kr/mayor_8/MA040101/view?curPage=195&repSeq=DOM_0000000012620245,html,2025-06-28,day,rail,adjacent_corridor,첫 운행,본문,계양역에서 검단호수공원역까지 첫 운행,high,인접 기존축 기준선이며 계양 신도시 교통약속 이행으로 간주하지 않음,https://www.incheon.go.kr/mayor_8/MA040101/view?curPage=195&repSeq=DOM_0000000012620245,ALLOW,200,html,,8a7dd42c598c7b53ed0b4bc831d8e4a139b16bd22b43069a47ab9bc174eabcc9,81369,evidence\documents\인천 계양\2025-06-28_인천도시철도_1호선_검단연장선_개통.html,175d5b83e7d4d7c722a426021e67deeedf0d4548bb1604a330b6846bc12bd88c,,TOO_SHORT,,2026-08-26T20:18:16+09:00,needs_human,인용문:TOO_SHORT
F006,인천 계양,basic_service,official_press_release,검단연장선 6월 28일 첫 운행,인천광역시,2025-06-16,https://www.incheon.go.kr/IC010205/view?curPage=276&repSeq=DOM_0000000012563847,html,2025-06-28,day,rail,adjacent_corridor,첫 운행,제목 및 본문,6월 28일 첫 운행,high,"F005의 사전 공식 공지, 계양지구 S-BRT와는 별개",https://www.incheon.go.kr/IC010205/view?curPage=276&repSeq=DOM_0000000012563847,ALLOW,200,html,,ddfb5baf54349d7451558757ccc81658e2ff79b80a37285c9bb5ddd49dd36359,201789,evidence\documents\인천 계양\2025-06-16_검단연장선_6월_28일_첫_운행.html,8fea27b6ff3d9b66c4af4984ad82dbb8648c8e28f31699234f5f667b30352dbc,,TOO_SHORT,,2026-08-26T20:18:19+09:00,needs_human,인용문:TOO_SHORT
F007,남양주 왕숙,occupancy_start,official_housing_notice,남양주왕숙 A-1블록 공공분양주택 입주자모집공고,한국토지주택공사,2025,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060926&uppAisTpCd=05,html,2028-08,month,occupancy,block,입주예정일,공급정보 A-01,입주예정일 2028년 08월,high,"미래 예정일, 실제 입주 공지로 전환 필요",https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060926&uppAisTpCd=05,ALLOW,200,html,,3d2fbd3e41f74d681d9633ab3443d963b9e101185935e096e1b754b22d05ec88,196665,evidence\documents\남양주 왕숙\2025_남양주왕숙_A-1블록_공공분양주택_입주자모집공고.html,af684556cab475c2ca0bd2056472813a1da2d2f5d03b7c599630681b2cfe8c8f,,TOO_SHORT,,2026-08-26T20:18:22+09:00,needs_human,인용문:TOO_SHORT
F008,남양주 왕숙,occupancy_start,official_housing_notice,남양주왕숙 A-2블록 신혼희망타운 입주자모집공고,한국토지주택공사,2025-07-24,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=39&ccrCnntSysDsCd=02&mi=1027&panId=0000060921&uppAisTpCd=39,html,2028-08,month,occupancy,block,입주예정월,공급정보 A-02,입주예정월 2028년 08월,high,독립 블록 공고로 같은 예정월을 교차확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=39&ccrCnntSysDsCd=02&mi=1027&panId=0000060921&uppAisTpCd=39,ALLOW,200,html,,722d39198a5909bee3459cfb78f636dc4d2f072bab7405d14fa04d358d0840d7,193986,evidence\documents\남양주 왕숙\2025-07-24_남양주왕숙_A-2블록_신혼희망타운_입주자모집공고.html,dd33644934960d9dbe61ec9bb3d95839e2f5d56d2f8db42d423918ae847811ba,,TOO_SHORT,,2026-08-26T20:18:25+09:00,needs_human,인용문:TOO_SHORT
F009,남양주 왕숙,promise_date,official_press_release,남양주왕숙·고양창릉 신도시 교통대책 확정,국토교통부 대도시권광역교통위원회,2020-12-29,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95084988&lcmspage=1,html,2028,year,rail,district,개통을 목표로 추진,남양주왕숙 대책,강동~하남~남양주 도시철도 2028년 개통 목표,high,확정 당시 목표일이며 최신 사업일정과 계속 대조해야 함,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95084988&lcmspage=1,ALLOW,200,html,,6dae1eeca5a29545344277026e601cfbe8230b042347f95b2aa9f4cf88b17409,35788,evidence\documents\남양주 왕숙\2020-12-29_남양주왕숙_고양창릉_신도시_교통대책_확정.html,6e6ae1f25696ef8c79659e10a2aede6d601a1c311118df78756b2f8aef7239cc,,TOO_SHORT,,2026-08-26T20:18:29+09:00,needs_human,인용문:TOO_SHORT
F010,남양주 왕숙,promise_date,official_plan_pdf,신도시 광역교통 개선 투자계획,국토교통부,2024-01-25,https://www.molit.go.kr/2024plan_traffic/news/bodo_2.pdf,pdf,미정,unknown,rail_road,district,집중 투자,11쪽 동부권,강동하남남양주선·경의중앙선 역사 신설,high,"2024년 투자 우선순위 재확인, 개통일 약속은 F009 사용",https://www.molit.go.kr/2024plan_traffic/news/bodo_2.pdf,ALLOW,200,pdf,,90f107e315964eadde4d306bc9bd50f6b4883562335c9cbb3a6a6c4b486b8c77,2962879,evidence\documents\남양주 왕숙\2024-01-25_신도시_광역교통_개선_투자계획.pdf,b31ca990371ee68f84d01653d6172d459d3dac1cf832703ec687d14fd0ffdcfc,,TOO_SHORT,,2026-08-26T20:18:35+09:00,needs_human,인용문:TOO_SHORT
