cand_id|development|event_type|source_type|title|publisher|published_date|source_url|file_kind|event_date_초안|date_precision|mode|scope|promise_verb_원문표기|page_or_section|exact_excerpt|confidence|notes
F001|인천 계양|occupancy_start|official_housing_notice|인천계양 A2 공공분양주택 입주자모집공고|한국토지주택공사|2024-09-20|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060752&uppAisTpCd=05|html|2026-12|month|occupancy|block|입주예정일|공급정보 A2|입주예정일 2026년 12월|high|미래 예정일이며 실제 입주 시작 공지가 나오면 갱신
F002|인천 계양|occupancy_start|official_commercial_notice|인천계양 A3블록 단지내상가 재분양공고|한국토지주택공사|2026-07-10|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=23&ccrCnntSysDsCd=04&panId=BN-0001331&uppAisTpCd=22|html|2026-12|month|occupancy|block|입주예정월|단지내 주택 정보|입주예정월 2026. 12|high|A3 주택의 입주예정월을 재확인하는 독립 공고
F003|인천 계양|promise_date|official_press_release|인천계양·부천대장 광역교통개선대책 확정|국토교통부 대도시권광역교통위원회|2021-01-24|https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094&lcmspage=2|html|미정|unknown|S-BRT_road|district|설치·구축한다|인천계양·부천대장 대중교통 대책|김포공항역~계양지구 S-BRT를 설치|high|개선대책 확정 원문이지만 실제 개통일은 제시하지 않음
F004|인천 계양|promise_date|official_service_page|BRT 고급화(S-BRT) 추진|국토교통부 대도시권광역교통위원회|확인불가|https://www.molit.go.kr/mta/USR/WPGE0201/m_36794/DTL.jsp|html|2026|year|S-BRT|district|차질 없이 추진|S-BRT 시범사업 목록|계양-대장 S-BRT 사업기간 ’19~’26|high|페이지 갱신형 현황표이므로 게시일 대신 수집일을 검증로그로 관리
F005|인천 계양|basic_service|official_press_release|인천도시철도 1호선 검단연장선 개통|인천광역시|2025-06-28|https://www.incheon.go.kr/mayor_8/MA040101/view?curPage=195&repSeq=DOM_0000000012620245|html|2025-06-28|day|rail|adjacent_corridor|첫 운행|본문|계양역에서 검단호수공원역까지 첫 운행|high|인접 기존축 기준선이며 계양 신도시 교통약속 이행으로 간주하지 않음
F006|인천 계양|basic_service|official_press_release|검단연장선 6월 28일 첫 운행|인천광역시|2025-06-16|https://www.incheon.go.kr/IC010205/view?curPage=276&repSeq=DOM_0000000012563847|html|2025-06-28|day|rail|adjacent_corridor|첫 운행|제목 및 본문|6월 28일 첫 운행|high|F005의 사전 공식 공지, 계양지구 S-BRT와는 별개
F007|남양주 왕숙|occupancy_start|official_housing_notice|남양주왕숙 A-1블록 공공분양주택 입주자모집공고|한국토지주택공사|2025|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=05&ccrCnntSysDsCd=02&mi=1027&panId=0000060926&uppAisTpCd=05|html|2028-08|month|occupancy|block|입주예정일|공급정보 A-01|입주예정일 2028년 08월|high|미래 예정일, 실제 입주 공지로 전환 필요
F008|남양주 왕숙|occupancy_start|official_housing_notice|남양주왕숙 A-2블록 신혼희망타운 입주자모집공고|한국토지주택공사|2025-07-24|https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?aisTpCd=39&ccrCnntSysDsCd=02&mi=1027&panId=0000060921&uppAisTpCd=39|html|2028-08|month|occupancy|block|입주예정월|공급정보 A-02|입주예정월 2028년 08월|high|독립 블록 공고로 같은 예정월을 교차확인
F009|남양주 왕숙|promise_date|official_press_release|남양주왕숙·고양창릉 신도시 교통대책 확정|국토교통부 대도시권광역교통위원회|2020-12-29|https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95084988&lcmspage=1|html|2028|year|rail|district|개통을 목표로 추진|남양주왕숙 대책|강동~하남~남양주 도시철도 2028년 개통 목표|high|확정 당시 목표일이며 최신 사업일정과 계속 대조해야 함
F010|남양주 왕숙|promise_date|official_plan_pdf|신도시 광역교통 개선 투자계획|국토교통부|2024-01-25|https://www.molit.go.kr/2024plan_traffic/news/bodo_2.pdf|pdf|미정|unknown|rail_road|district|집중 투자|11쪽 동부권|강동하남남양주선·경의중앙선 역사 신설|high|2024년 투자 우선순위 재확인, 개통일 약속은 F009 사용
