cand_id,development,event_type,source_type,title,publisher,published_date,source_url,file_kind,event_date_초안,date_precision,mode,scope,promise_verb_원문표기,page_or_section,exact_excerpt,confidence,notes,url_clean,domain_check,http_status,file_kind_actual,kind_mismatch,sha256_raw,bytes,local_path,sha256_text,dup_of,excerpt_found,excerpt_sim,retrieved_at,review_status,reject_reason
A06,인천 계양,occupancy_start,공공기관 공고,[정정공고]인천계양 A2블록 공공분양주택 입주자모집공고,LH,2024-09-30,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060752,html,2026년 12월,month,분양,개별 블록,입주 예정 시기는 3기 신도시 중 가장 빠른 2026년 12월,공고문 본문,"■ 이 주택의 입주자모집공고일은 2024.09.30(월)이며, 이는 청약자격의 판단기준일이 됩니다. 공급위치 : 인천광역시 계양구 귤현동, 동양동, 박촌동, 병방동, 상야동 일원 공공주택지구 내 A-2블록.",high,원문 직접 확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060752,ALLOW,200,html,,def247ee3e61c7b5d8576d67e52b47efb3c3786432cc144a9e0ed757d84a253b,2775,evidence\documents\인천 계양\2024-09-30__정정공고_인천계양_A2블록_공공분양주택_입주자모집공고.html,490ac6a8fffd3057ad44ad41b76a65f0b94e62b72bd4a689f188d74846f87814,A02,N,0.073,2026-08-26T20:21:08+09:00,needs_human,인용문:N
A07,남양주 왕숙,occupancy_start,공공기관 공고,남양주왕숙 A-1블록 공공분양주택 입주자모집공고,LH,2025-07-24,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060920,html,2028년 08월,month,분양,개별 블록,입주예정일 : 2028년 08월,공고문 본문,"■ 이 주택의 입주자모집공고일은 2025.07.24.(목)이며, 이는 청약자격의 판단기준일이 됩니다. 공급위치 : 경기도 남양주시 진접읍, 진건읍, 퇴계원읍 일원 남양주왕숙 공공주택지구 내 A-1블록. 입주예정일 : 2028년 08월.",high,원문 직접 확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060920,ALLOW,200,html,,def247ee3e61c7b5d8576d67e52b47efb3c3786432cc144a9e0ed757d84a253b,2775,evidence\documents\남양주 왕숙\2025-07-24_남양주왕숙_A-1블록_공공분양주택_입주자모집공고.html,490ac6a8fffd3057ad44ad41b76a65f0b94e62b72bd4a689f188d74846f87814,A02,N,0.073,2026-08-26T20:21:11+09:00,needs_human,인용문:N
A08,하남 교산,occupancy_start,공공기관 공고,교산 푸르지오 더 퍼스트(하남교산 A-2BL)공공분양주택 입주자모집공고,LH,2025-03-31,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060855,html,2029년 06월,month,분양,개별 블록,입주예정일 : 2029년 06월,공고문 본문,"- 소재지 : 경기도 하남시 천현동 130. 전용면적(㎡) : 51.87 ~ 59.99. 총 세대수 : 1,115. 난방방식 : 지역난방. 입주예정일 : 2029년 06월.",high,원문 직접 확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060855,ALLOW,200,html,,def247ee3e61c7b5d8576d67e52b47efb3c3786432cc144a9e0ed757d84a253b,2775,evidence\documents\하남 교산\2025-03-31_교산_푸르지오_더_퍼스트_하남교산_A-2BL_공공분양주택_입주자모집공고.html,490ac6a8fffd3057ad44ad41b76a65f0b94e62b72bd4a689f188d74846f87814,A02,N,0.039,2026-08-26T20:21:14+09:00,needs_human,인용문:N
A09,고양 창릉,occupancy_start,공공기관 공고,고양창릉 S-4블록 공공분양주택 입주자모집공고,LH,2026-06-30,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061121,html,2030년 03월,month,분양,개별 블록,입주예정일 : 2030년 03월,공고문 본문,"■ 이 주택의 입주자모집공고일은 2026.06.30.(화)이며, 이는 청약자격의 판단기준일이 됩니다. 입주예정일 : 2030년 03월.",high,원문 직접 확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000061121,ALLOW,200,html,,def247ee3e61c7b5d8576d67e52b47efb3c3786432cc144a9e0ed757d84a253b,2775,evidence\documents\고양 창릉\2026-06-30_고양창릉_S-4블록_공공분양주택_입주자모집공고.html,490ac6a8fffd3057ad44ad41b76a65f0b94e62b72bd4a689f188d74846f87814,A02,N,0.087,2026-08-26T20:21:17+09:00,needs_human,인용문:N
A10,부천 대장,occupancy_start,공공기관 공고,부천대장 A7블록 공공분양주택 입주자모집공고,LH,2025-04-30,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060863,html,2028년 01월,month,분양,개별 블록,입주예정일 : 2028년 01월,공고문 본문,"■ 공급위치 : 경기도 부천시 오정구 대장동, 오정동, 원종동, 삼정동, 인천광역시 계양구 동양동, 박촌동, 병방동 일원 부천대장 공공주택지구 내 A7블록. 입주예정일 : 2028년 01월.",high,원문 직접 확인,https://apply.lh.or.kr/lhapply/apply/wt/wrtanc/selectWrtancInfo.do?panId=0000060863,ALLOW,200,html,,def247ee3e61c7b5d8576d67e52b47efb3c3786432cc144a9e0ed757d84a253b,2775,evidence\documents\부천 대장\2025-04-30_부천대장_A7블록_공공분양주택_입주자모집공고.html,490ac6a8fffd3057ad44ad41b76a65f0b94e62b72bd4a689f188d74846f87814,A02,N,0.037,2026-08-26T20:21:20+09:00,needs_human,인용문:N
B06,인천 계양,promise_date,국토교통부 보도자료,"3기 신도시, 패스트트랙·교통대책 조기 확정 등으로 신속 공급",국토교통부,2021-01-24,http://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95085094,html,2020.12.30,day,광역교통,지구 전체,인천계양(1만 7천호)과 부천대장(2만호)의 교통대책이 확정됨,보도자료 본문,"대도시권광역교통위원회 심의('20.12.30)를 거쳐 인천계양(1만 7천호)과 부천대장(2만호)의 교통대책이 확정됨에 따라 3기 신도시 교통대책이 모두 확정되었다. 김포공항역~계양지구~대장지구~부천종합운동장을 잇는 S-BRT 등 신교통수단을 설치하여 주변 철도노선(5·7·9호선, 공항철도, GTX-B 등)으로의 원활한 연계가 가능한 교통망을 구축한다.",high,원문 직접 확인,http://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95085094,ALLOW,200,html,,0553e1245c054ee29e36c23d0263cc561e243ece1b77a9e987de1d594e4cd66b,27350,evidence\documents\인천 계양\2021-01-24_3기_신도시__패스트트랙_교통대책_조기_확정_등으로_신속_공급.html,06d394c7a8f684dec2f2d3df12fb34c874dfb34f7e37524e989833041135b17e,,PARAPHRASE,0.938,2026-08-26T20:21:22+09:00,needs_human,인용문:PARAPHRASE
B07,남양주 왕숙,promise_date,국토교통부 보도자료,남양주왕숙·고양창릉 신도시 교통대책 확정!,국토교통부,2020-12-29,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=2&id=95084988,html,2020-12-29,day,광역교통,지구 전체,남양주왕숙 광역교통개선대책 확정,보도자료 본문,"국토교통부는 대도시권광역교통위원회 심의('20.12.4)를 거쳐 남양주왕숙(6만 6천호)과 고양창릉(3만 8천호)의 광역교통개선대책을 확정하였다. 서울 강동~하남~남양주간 도시철도, 한강교량 신설 등.",high,원문 직접 확인,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=2&id=95084988,ALLOW,200,html,,ef0529cf32bdcf2a2be5535bb4201829631146b7f6b6a2e3c2dd5e074c870a6d,35788,evidence\documents\남양주 왕숙\2020-12-29_남양주왕숙_고양창릉_신도시_교통대책_확정_.html,c46885783ba194be5eede1aaf4275389b49a434ab5abd8e00ba3fc7311e1dac0,,N,0.762,2026-08-26T20:21:26+09:00,needs_human,인용문:N
B08,하남 교산,promise_date,국토교통부 보도자료,"하남교산, 과천지구 광역교통개선대책 확정",국토교통부,2020-05-21,https://www.xn--3-3u6ey6lv7rsa.kr/kor/CMS/Board/Board.do?mCode=MN024&page=3&mode=view&mgr_seq=12&board_seq=135,html,2020-05-21,day,광역교통,지구 전체,하남교산 3기 신도시(3만 2천호) 광역교통개선대책 확정,보도자료 본문,"국토교통부(장관 김현미)는 대도시권광역교통위원회(위원장 최기주) 심의('20.5.8)를 거쳐 하남교산 3기 신도시(3만 2천호)와 과천지구(7천호) 광역교통개선대책을 확정하였다. 잠실·강남 등 서울 도심까지 30분내 출퇴근이 가능하도록 지하철 등 대중교통 투자를 확대하고, 지구지정부터 대책확정까지 15개월 이상 소요되던 기간을 대폭 단축하였다.",high,원문 직접 확인,https://www.xn--3-3u6ey6lv7rsa.kr/kor/CMS/Board/Board.do?mCode=MN024&page=3&mode=view&mgr_seq=12&board_seq=135,UNKNOWN,200,html,,0adfc0053fb55223522d96d48316b3437838b03fa268aa79333c47e8d5ffbfac,33649,evidence\documents\하남 교산\2020-05-21_하남교산__과천지구_광역교통개선대책_확정.html,4e4f95262c6d4559a482e5abefc1bb2055790992f43207ccfca5d2fa7db2625a,,N,0.812,2026-08-26T20:21:28+09:00,needs_human,도메인:UNKNOWN; 인용문:N
B09,고양 창릉,promise_date,국토교통부 보도자료,"3기 신도시, 패스트트랙·교통대책 조기 확정 등으로 신속 공급",국토교통부,2021-01-24,http://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95085094,html,2020.12.30,day,광역교통,지구 전체,고양창릉 광역교통개선대책 확정,보도자료 본문,"남양주왕숙·하남교산·인천계양은 보상공고('20.8)를 거쳐 보상절차가 진행 중이며, 고양창릉·부천대장은 상반기에 보상공고 할 계획이다. 주요 사업으로 고양창릉은 고양~은평간 도시철도, GTX-A 역사신설 등이 있다.",high,원문 직접 확인,http://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95085094,ALLOW,200,html,,cf4ccec819b0d8c7d075b4764b8601176da04a11518277e0e2d2558c4ff86233,27350,evidence\documents\고양 창릉\2021-01-24_3기_신도시__패스트트랙_교통대책_조기_확정_등으로_신속_공급.html,93a2c3db2e89292a4980f6a444f1959a4f275b813ea38cc5d89975946b6eee95,,N,0.688,2026-08-26T20:21:31+09:00,needs_human,인용문:N
B10,부천 대장,promise_date,국토교통부 보도자료,"3기 신도시, 패스트트랙·교통대책 조기 확정 등으로 신속 공급",국토교통부,2021-01-24,http://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95085094,html,2020.12.30,day,광역교통,지구 전체,부천대장(2만호)의 교통대책이 확정됨,보도자료 본문,"대도시권광역교통위원회 심의('20.12.30)를 거쳐 인천계양(1만 7천호)과 부천대장(2만호)의 교통대책이 확정됨에 따라 3기 신도시 교통대책이 모두 확정되었다. 국도39호선(벌말로) 확장, 경명대로 신설, 오정로 확장 등을 통해 도로용량을 확보하고 도로 간 연계성을 개선하여 광역교통 접근성을 대폭 강화한다.",high,원문 직접 확인,http://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?lcmspage=1&id=95085094,ALLOW,200,html,,31f5ea11323f9ed9188ac1643293212a8479e34bb69bae7ac0a70da00be3c351,27350,evidence\documents\부천 대장\2021-01-24_3기_신도시__패스트트랙_교통대책_조기_확정_등으로_신속_공급.html,b3d77d3fb72e4a5acdd46e9aee1d81049ee088065dadb88f9d18eefc6a1deddd,,PARAPHRASE,0.95,2026-08-26T20:21:33+09:00,needs_human,인용문:PARAPHRASE
