search_id,query,searched_at,platform,top_result_title,source_url,result_type,geography,input_or_concept,output_form,temporal_structure,criteria_geography_match,criteria_input_match,criteria_output_match,criteria_temporal_match,exact_duplicate,conclusion,notes
P01,"""신도시 교통 공백일수""",2026-08-31T21:20:00+09:00,web_search,2024 LH ESG 지속가능경영보고서,https://www.lh.or.kr/boardDownload.es?bid=ATT&list_no=722673&seq=1,adjacent,2·3기 신도시,선교통-후입주 추진자료,정책·절차 단축,연차보고,false,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,정확 문구 결과 없음; 교통시설 조기 개통 정책자료가 인접 사례
P02,"""입주 교통대책 지연"" 데이터",2026-08-31T21:20:00+09:00,web_search,2025년도 정부업무평가 시행계획·관리과제,https://www.evaluation.go.kr/upload2/atch/eval/20250508092732377.pdf,adjacent,신도시 일반,교통대책 지연요소,정책 과제,연도별 평가,false,true,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,지연요소를 열거하지만 약속일-운행일 지구별 데이터셋은 아님
P03,"""선교통 후입주"" 지표",2026-08-31T21:20:00+09:00,web_search,2024 LH ESG 지속가능경영보고서,https://www.lh.or.kr/boardDownload.es?bid=ATT&list_no=722673&seq=1,adjacent,3기 신도시,선교통-후입주,절차 단축·정책성과,연차보고,true,true,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,원칙·성과지표는 있으나 공백일·가구일 산출은 없음
P04,"""교통약속 이행"" 지도",2026-08-31T21:20:00+09:00,web_search,검색 결과 없음(정확 문구),,no_result,,,,,false,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,정확 문구 및 동일 구조 결과 미발견
P05,"""신도시 배차간격"" 입주",2026-08-31T21:20:00+09:00,web_search,공항신도시 대중교통대책 연구,https://www.ii.re.kr/storage/report/BB0000006611.pdf,adjacent,인천 공항신도시,입주민 교통·배차간격,대중교통 개선안,단면 연구,false,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,입주초기 배차 문제 연구이나 공식 약속-실제 개시 감사표가 아님
P06,"""신도시 교통 공백"" 가구일",2026-08-31T21:20:00+09:00,web_search,집보다 늦는 철도에 갈등까지…3기 신도시 교통 공백 장기화 우려,https://www.nocutnews.co.kr/news/6562354.re,adjacent_news,3기 신도시,교통 공백,기사,사례 서술,true,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,기사에서 공백을 다루지만 가구일 지표·재현 데이터셋은 없음
P07,"""new town transport promise delay""",2026-08-31T21:20:00+09:00,web_search,LRT Forms Backbone of New Town Transport System,https://www.histsyn.com/2022/12/daily-information-bulletin-1980s-1988_75.html,adjacent,Hong Kong new town,LRT completion,공식 발표 아카이브,1988 사건,false,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,개별 개통 기록으로 약속 대비 지연 대시보드가 아님
P08,"""transit gap after move-in""",2026-08-31T21:20:00+09:00,web_search,"Greater London (Government Assistance), Hansard",https://api.parliament.uk/historic-hansard//commons/1980/dec/17/greater-london-government-assistance,adjacent,Thamesmead new town,입주 후 교통 접근성 부족,의회 토론,1980 사건,false,true,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,입주 후 교통부족 논의지만 약속·실개통 데이터 구조가 없음
P09,"""promise versus opening dashboard"" transport",2026-08-31T21:20:00+09:00,web_search,검색 결과 없음(동일 대시보드),,no_result,,,,,false,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,동일 개념 결과 미발견
P10,"""household-days transport deprivation""",2026-08-31T21:20:00+09:00,web_search,Uganda Multidimensional Poverty Index Report 2022,https://www.ubos.org/wp-content/uploads/publications/08_2022Multi_Poverty_Dimensional_Index_Report_2022.pdf,unrelated,Uganda households,transport asset deprivation,MPI,조사연도,false,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,household deprivation은 있으나 household-days·신도시 교통개통과 무관
P11,"""new town transit opening delay dataset""",2026-08-31T21:20:00+09:00,web_search,검색 결과 없음(동일 데이터셋),,no_result,,,,,false,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,동일 데이터셋 미발견
P12,"""transport promise actual opening map""",2026-08-31T21:20:00+09:00,web_search,검색 결과 없음(동일 지도),,no_result,,,,,false,false,false,false,false,기록된 검색 범위에서 정확한 중복을 찾지 못함,동일 지도 미발견
